         113850694 function calls (113845046 primitive calls) in 80.483 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(amax)
 12160663    3.001    0.000   19.918    0.000 <__array_function__ internals>:2(angle)
       22    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
      133    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
     1980    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(copyto)
     1980    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(empty_like)
  2029500    0.528    0.000    1.657    0.000 <__array_function__ internals>:2(imag)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(iscomplexobj)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(isrealobj)
       22    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(mean)
      132    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(moveaxis)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
      133    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(pad)
      132    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(prod)
       44    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
      264    0.000    0.000    0.041    0.000 <__array_function__ internals>:2(rfft)
      133    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(round_)
       22    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(sum)
      528    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(swapaxes)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(transpose)
       22    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(where)
     1980    0.001    0.000    0.014    0.000 <__array_function__ internals>:2(zeros_like)
        1    0.014    0.014   81.032   81.032 <string>:1(<module>)
   426866    0.085    0.000    0.085    0.000 <string>:2(__init__)
       22    0.000    0.000    0.009    0.000 _backend.py:16(__ua_function__)
        2    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        2    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
        2    0.000    0.000    0.000    0.000 _dtype.py:321(_name_get)
        1    0.000    0.000    0.000    0.000 _methods.py:162(_mean)
       22    0.000    0.000    0.000    0.000 _methods.py:46(_sum)
       22    0.000    0.000    0.000    0.000 _methods.py:54(_any)
      136    0.000    0.000    0.001    0.000 _methods.py:60(_all)
        1    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
      264    0.000    0.000    0.000    0.000 _pocketfft.py:118(_fft_dispatcher)
      264    0.000    0.000    0.041    0.000 _pocketfft.py:320(rfft)
      264    0.000    0.000    0.041    0.000 _pocketfft.py:49(_raw_fft)
      264    0.000    0.000    0.000    0.000 _pocketfft.py:78(_get_forward_norm)
       22    0.013    0.001    0.029    0.001 _spectral_py.py:1181(istft)
       22    0.000    0.000    0.000    0.000 _windows.py:16(_len_guards)
       22    0.000    0.000    0.003    0.000 _windows.py:2051(get_window)
       22    0.000    0.000    0.000    0.000 _windows.py:23(_extend)
       22    0.000    0.000    0.000    0.000 _windows.py:31(_truncate)
       22    0.001    0.000    0.003    0.000 _windows.py:39(general_cosine)
       22    0.000    0.000    0.003    0.000 _windows.py:708(hann)
       22    0.000    0.000    0.003    0.000 _windows.py:933(general_hamming)
      132    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
      5/1    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
      266    0.000    0.000    0.000    0.000 arraypad.py:109(<genexpr>)
      266    0.000    0.000    0.000    0.000 arraypad.py:120(<genexpr>)
      132    0.000    0.000    0.000    0.000 arraypad.py:129(_set_pad_area)
      266    0.000    0.000    0.000    0.000 arraypad.py:33(_slice_at_axis)
        1    0.000    0.000    0.000    0.000 arraypad.py:381(_set_wrap_both)
      265    0.001    0.000    0.001    0.000 arraypad.py:454(_as_pairs)
      133    0.000    0.000    0.000    0.000 arraypad.py:521(_pad_dispatcher)
      133    0.001    0.000    0.004    0.000 arraypad.py:529(pad)
      133    0.000    0.000    0.000    0.000 arraypad.py:58(_view_roi)
      133    0.001    0.000    0.001    0.000 arraypad.py:86(_pad_simple)
        2    0.000    0.000    0.001    0.000 audio.py:436(to_mono)
        2    0.000    0.000    0.001    0.001 audio.py:47(load)
        2    0.000    0.000    0.000    0.000 audio.py:474(resample)
        1    0.000    0.000    0.001    0.001 audio_transport.py:124(load_audio)
       44   17.186    0.391   19.345    0.440 audio_transport.py:139(analyze)
        1    0.000    0.000    0.000    0.000 audio_transport.py:17(signal_handling)
      990    1.949    0.002   61.150    0.062 audio_transport.py:190(interpolate)
   851752   33.319    0.000   54.502    0.000 audio_transport.py:277(place_mass)
     1980    3.696    0.002    4.293    0.002 audio_transport.py:296(group_spectrum)
     1980    0.176    0.000    0.258    0.000 audio_transport.py:301(<listcomp>)
        1    0.000    0.000    0.000    0.000 audio_transport.py:34(__init__)
      990    0.125    0.000    0.155    0.000 audio_transport.py:368(transport_matrix)
       22    0.002    0.000    0.122    0.006 audio_transport.py:405(synthesize)
       22    0.000    0.000    0.048    0.002 audio_transport.py:408(<listcomp>)
       88    0.002    0.000    0.003    0.000 audio_transport.py:415(hann)
       44    0.000    0.000    0.001    0.000 audio_transport.py:421(time_weighted_hann)
       44    0.001    0.000    0.001    0.000 audio_transport.py:427(derivative_hann)
        1    0.194    0.194   81.018   81.018 audio_transport.py:45(main)
       22    0.001    0.000    0.001    0.000 audio_transport.py:90(<listcomp>)
       22    0.001    0.000    0.001    0.000 audio_transport.py:91(<listcomp>)
       22    0.000    0.000    0.009    0.000 basic.py:71(c2r)
  932/134    0.001    0.000    0.079    0.001 decorators.py:84(inner_f)
      132    0.000    0.000    0.000    0.000 fft.py:43(get_fftlib)
      132    0.000    0.000    0.001    0.000 filters.py:1131(get_window)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:2118(_sum_dispatcher)
       22    0.000    0.000    0.001    0.000 fromnumeric.py:2123(sum)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:2263(_any_dispatcher)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:2268(any)
       44    0.000    0.000    0.000    0.000 fromnumeric.py:2633(_amax_dispatcher)
       44    0.000    0.000    0.005    0.000 fromnumeric.py:2638(amax)
      132    0.000    0.000    0.000    0.000 fromnumeric.py:2928(_prod_dispatcher)
      132    0.000    0.000    0.001    0.000 fromnumeric.py:2933(prod)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:3123(_ndim_dispatcher)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:3127(ndim)
      266    0.000    0.000    0.000    0.000 fromnumeric.py:3216(_around_dispatcher)
      133    0.000    0.000    0.000    0.000 fromnumeric.py:3220(around)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3317(_mean_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3322(mean)
      133    0.000    0.000    0.001    0.000 fromnumeric.py:3730(round_)
      683    0.000    0.000    0.001    0.000 fromnumeric.py:51(_wrapfunc)
      528    0.000    0.000    0.000    0.000 fromnumeric.py:546(_swapaxes_dispatcher)
      528    0.000    0.000    0.001    0.000 fromnumeric.py:550(swapaxes)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:597(_transpose_dispatcher)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:601(transpose)
      220    0.000    0.000    0.008    0.000 fromnumeric.py:69(_wrapreduction)
      220    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
 12160663    0.727    0.000    0.727    0.000 function_base.py:1442(_angle_dispatcher)
 12160663    8.428    0.000   10.668    0.000 function_base.py:1446(angle)
       22    0.000    0.000    0.000    0.000 function_base.py:18(_linspace_dispatcher)
       22    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
        2    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
       22    0.000    0.000    0.000    0.000 helper.py:112(_fix_shape)
       22    0.000    0.000    0.000    0.000 helper.py:139(_fix_shape_1d)
       22    0.000    0.000    0.000    0.000 helper.py:150(_normalization)
       22    0.000    0.000    0.000    0.000 helper.py:161(_workers)
       22    0.000    0.000    0.000    0.000 helper.py:80(_asfarray)
     1980    0.000    0.000    0.000    0.000 multiarray.py:1071(copyto)
       22    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
       22    0.000    0.000    0.000    0.000 multiarray.py:341(where)
       44    0.000    0.000    0.000    0.000 multiarray.py:664(result_type)
     1980    0.000    0.000    0.000    0.000 multiarray.py:80(empty_like)
      264    0.000    0.000    0.001    0.000 numeric.py:1335(normalize_axis_tuple)
      264    0.000    0.000    0.000    0.000 numeric.py:1385(<listcomp>)
      132    0.000    0.000    0.000    0.000 numeric.py:1394(_moveaxis_dispatcher)
      132    0.000    0.000    0.001    0.000 numeric.py:1398(moveaxis)
      132    0.000    0.000    0.000    0.000 numeric.py:1460(<listcomp>)
      154    0.000    0.000    0.001    0.000 numeric.py:1858(isscalar)
     1980    0.000    0.000    0.000    0.000 numeric.py:72(_zeros_like_dispatcher)
     1980    0.003    0.000    0.012    0.000 numeric.py:76(zeros_like)
      320    0.000    0.000    0.000    0.000 numerictypes.py:284(issubclass_)
      160    0.000    0.000    0.001    0.000 numerictypes.py:358(issubdtype)
        2    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        1    0.000    0.000    0.034    0.034 pyaudio.py:289(__init__)
        1    0.000    0.000    0.001    0.001 pyaudio.py:449(close)
        1    0.000    0.000    0.000    0.000 pyaudio.py:505(start_stream)
        1    0.000    0.000    0.135    0.135 pyaudio.py:514(stop_stream)
       23    0.000    0.000    0.000    0.000 pyaudio.py:527(is_active)
